Commodity,Date,Quality,Location,Price (per kg)
Cumin seeds,22-Jul,Cumin Powder (Regular),Deesa(Gujarat),370
Cumin seeds,22-Jul,Cumin Powder (Low),Deesa(Gujarat),130-300
Coriander,22-Jul,Coriander Powder (Premium),Deesa(Gujarat),100
Coriander,22-Jul,Coriander Powder (Medium),Deesa(Gujarat),90
Coriander,22-Jul,Coriander Powder (Regular),Deesa(Gujarat),80
Coriander,22-Jul,Coriander Powder (Low),Deesa(Gujarat),55-60
Coriander,22-Jul,Quality Scooter,Mundra-port(Gujarat),100
Dry Chilli,22-Jul,Teja Stem,Guntur(Andhra Pradesh),245
Dry Chilli,22-Jul,Teja stem less,Guntur(Andhra Pradesh),345
Dry Chilli,22-Jul,Teja Stem Cut,Guntur(Andhra Pradesh),270
Dry Chilli,22-Jul,Sannam with stem,Guntur(Andhra Pradesh),240
Dry Chilli,22-Jul,Sannam stem less,Guntur(Andhra Pradesh),290
Dry Chilli,22-Jul,Syngenta Bydigi Stem,Guntur(Andhra Pradesh),220
Cumin seeds,22-Jul,Extra bold + 5% GST,Unjha(Gujarat),683
Cumin seeds,22-Jul,Diamond + 5% GST,Unjha(Gujarat),663
Cumin seeds,22-Jul,Bombay bold + 5% GST,Unjha(Gujarat),648
Cumin seeds,22-Jul,Jupiter + 5% GST,Unjha(Gujarat),638
Cumin seeds,22-Jul,Vivo + 5% GST,Unjha(Gujarat),628
Coriander,22-Jul,Bold Eagle + 5% GST,Unjha(Gujarat),73
Coriander,22-Jul,Bold Eagle plus + 5% GST,Unjha(Gujarat),80
Coriander,22-Jul,Bold Scooter + 5% GST,Unjha(Gujarat),85
Coriander,22-Jul,Bold Scooter plus + 5% GST,Unjha(Gujarat),88
Coriander,22-Jul,Bold Diamond + 5% GST,Unjha(Gujarat),105
Coriander,22-Jul,Bold Singal parrot + 5% GST,Unjha(Gujarat),105
Coriander,22-Jul,Split Eagle + 5% GST,Unjha(Gujarat),70
Coriander,22-Jul,Split Eagle plus + 5% GST,Unjha(Gujarat),68
Coriander,22-Jul,Split Scooter + 5% GST,Unjha(Gujarat),70
Coriander,22-Jul,Small Eagle plus(royal) + 5% GST,Unjha(Gujarat),85
Coriander,22-Jul,Small Scooter (seven star)+ 5% GST,Unjha(Gujarat),95
Coriander,22-Jul,Small Single parrot (ever green) + 5% GST,Unjha(Gujarat),125
Turmeric,22-Jul,Turmeric powder Curcumin content- around 3 % Moisture- less than5%,Sangli(Maharashtra),125
Cumin seeds,22-Jul,CUMIN POWDER,Rajkot(Gujarat),806
Coriander,22-Jul,CORIANDER POWDER,Rajkot(Gujarat),186
Turmeric,22-Jul,TURMERIC POWDER,Rajkot(Gujarat),112
Dry Chilli,22-Jul,RED CHILLY POWDER KASHMIR,Rajkot(Gujarat),930
Dry Chilli,22-Jul,RED CHILLY POWDER REGULAR,Rajkot(Gujarat),434
Dry Chilli,22-Jul,RED CHILLY POWDER TEJA,Rajkot(Gujarat),410
Dry Chilli,22-Jul,RED CHILLY POWDER LOWEST,Rajkot(Gujarat),286
Cumin seeds,22-Jul,Singapore 99,Udaipur(Rajasthan),635
Coriander,22-Jul,CORIANDER EAGLE MACHINE,Rajkot(Gujarat),89
Coriander,22-Jul,CORIANDER EAGLE SORTEX,Rajkot(Gujarat),91
Coriander,22-Jul,CORIANDER SCOOTER,Rajkot(Gujarat),97
Coriander,22-Jul,CORIANDER SINGLE PARROT,Rajkot(Gujarat),111
Cumin seeds,22-Jul,CUMIN-JEERA SINGA-PORE 99,Rajkot(Gujarat),640
Cumin seeds,22-Jul,CUMIN-JEERA EUROPE 99,Rajkot(Gujarat),650
Cumin seeds,22-Jul,CUMIN-JEERA BOLD,Rajkot(Gujarat),660
Coriander,22-Jul,Badami loose,Ramganj-Mandi(Rajasthan),50-66
Coriander,22-Jul,Eagle loose,Ramganj-Mandi(Rajasthan),68-79
Coriander,22-Jul,Scooter loose,Ramganj-Mandi(Rajasthan),80-95
Coriander,22-Jul,Single parrot,Ramganj-Mandi(Rajasthan),80-95
Coriander,22-Jul,Double parrot and extra green,Ramganj-Mandi(Rajasthan),95+
Coriander,22-Jul,Dal(Eagle),Ramganj-Mandi(Rajasthan),78
Coriander,22-Jul,Eagle,Ramganj-Mandi(Rajasthan),85
Coriander,22-Jul,Scooter,Ramganj-Mandi(Rajasthan),105
Coriander,22-Jul,Single parrot,Ramganj-Mandi(Rajasthan),115
Turmeric,22-Jul,Turmeric Finger Selum,Nanded(Maharashtra),120
Turmeric,22-Jul,Bulb Selum Premium Export Quality,Nanded(Maharashtra),115
Turmeric,24-Jul,Turmeric Finger Selum,Nanded(Maharashtra),120
Turmeric,24-Jul,Bulb Selum Premium Export Quality,Nanded(Maharashtra),115
Turmeric,24-Jul,Turmeric powder best quality,Baroda(Gujarat),100
Dry Chilli,24-Jul,Chilli powder,Baroda(Gujarat),280
Dry Chilli,24-Jul,Chilli flake,Baroda(Gujarat),290
Turmeric,24-Jul,Turmeric finger,Baroda(Gujarat),110
Coriander,24-Jul,Coriander seeds,Baroda(Gujarat),110
Coriander,24-Jul,Coriander powder,Baroda(Gujarat),100
Cumin seeds,24-Jul,Cumin Seeds Singapore 99,Baroda(Gujarat),600
Cumin seeds,24-Jul,Cumin Seeds Powder,Baroda(Gujarat),400
Dry Chilli,24-Jul,saniya deluxe,Jodhpur(Rajasthan),250
Cumin seeds,24-Jul,CUMIN POWDER,Rajkot(Gujarat),806
Coriander,24-Jul,CORIANDER POWDER,Rajkot(Gujarat),186
Turmeric,24-Jul,TURMERIC POWDER,Rajkot(Gujarat),112
Dry Chilli,24-Jul,RED CHILLY POWDER KASHMIR,Rajkot(Gujarat),930
Dry Chilli,24-Jul,RED CHILLY POWDER REGULAR,Rajkot(Gujarat),434
Dry Chilli,24-Jul,RED CHILLY POWDER TEJA,Rajkot(Gujarat),410
Dry Chilli,24-Jul,RED CHILLY POWDER LOWEST,Rajkot(Gujarat),286
Dry Chilli,24-Jul,SANIYA SUPER DELUX WITH STEM,Jodhpur(Rajasthan),270
Dry Chilli,24-Jul,SANIYA SUPER DELUX STEMLESS,Jodhpur(Rajasthan),325
Dry Chilli,24-Jul,REVA SUPER DELUX WITH STEAM,Jodhpur(Rajasthan),300
Dry Chilli,24-Jul,WONDERHOT PLAIN DOUBLE PATTA DELUX WITH STEM,Jodhpur(Rajasthan),360
Dry Chilli,24-Jul,WONDERHOT SINGAL PATTA WITH STEM,Jodhpur(Rajasthan),330
Turmeric,24-Jul,TURMARIC NIZAMABAD DOUBLE POLICE,Jodhpur(Rajasthan),120
Turmeric,24-Jul,NIZAMABAD DOUBLE POLICE,Jodhpur(Rajasthan),125
Turmeric,24-Jul,SALAM FALI VASHNAVI 108 BRAND,Jodhpur(Rajasthan),120
Turmeric,24-Jul,NIZAMABAD GATHHA DOUBLE POLICE,Jodhpur(Rajasthan),125
Turmeric,24-Jul,SALEM GATHHA,Jodhpur(Rajasthan),122
Coriander,24-Jul,Eagle,Rajkot(Gujarat),80
Coriander,24-Jul,Eagle plus,Rajkot(Gujarat),82
Coriander,24-Jul,Scooter,Rajkot(Gujarat),90
Coriander,24-Jul,Scooter plus,Rajkot(Gujarat),92
Coriander,24-Jul,Single parrot,Rajkot(Gujarat),102
Cumin seeds,24-Jul,A grade,Unjha(Gujarat),630
Turmeric,24-Jul,Turmeric powder Curcumin content- around 3 % Moisture- less than5%,Sangli(Maharashtra),128
Cumin seeds,24-Jul,Singapore 99,Kanpur(Uttar Pradesh),710
Dry Chilli,24-Jul,Dehydrated Red Chilli powder,Shirdi(Maharashtra),250
Cumin seeds,24-Jul,Dehydrated Cumin powder,Shirdi(Maharashtra),360
Turmeric,24-Jul,1%,Shirdi(Maharashtra),90
Turmeric,24-Jul,1.50%,Shirdi(Maharashtra),100
Turmeric,24-Jul,2%,Shirdi(Maharashtra),105
Turmeric,24-Jul,2.50%,Shirdi(Maharashtra),110
Turmeric,24-Jul,3%,Shirdi(Maharashtra),115
Turmeric,24-Jul,4%,Shirdi(Maharashtra),120
Turmeric,24-Jul,5%,Shirdi(Maharashtra),135
Dry Chilli,24-Jul,Kashmiri red chilli,Shirdi(Maharashtra),490
Dry Chilli,24-Jul,Tikhala chilli powder (diamond),Shirdi(Maharashtra),310
Dry Chilli,24-Jul,Tikhala chilli powder (platinum),Shirdi(Maharashtra),290
Cumin seeds,24-Jul,Extra bold + 5% GST,Unjha(Gujarat),685
Cumin seeds,24-Jul,Diamond + 5% GST,Unjha(Gujarat),665
Cumin seeds,24-Jul,Bombay bold + 5% GST,Unjha(Gujarat),650
Cumin seeds,24-Jul,Jupiter + 5% GST,Unjha(Gujarat),640
Cumin seeds,24-Jul,Vivo + 5% GST,Unjha(Gujarat),630
Coriander,24-Jul,Bold Eagle + 5% GST,Unjha(Gujarat),81
Coriander,24-Jul,Bold Eagle plus + 5% GST,Unjha(Gujarat),87
Coriander,24-Jul,Bold Scooter + 5% GST,Unjha(Gujarat),89
Coriander,24-Jul,Bold Scooter plus + 5% GST,Unjha(Gujarat),88
Coriander,24-Jul,Bold Diamond + 5% GST,Unjha(Gujarat),106
Coriander,24-Jul,Bold Singal parrot + 5% GST,Unjha(Gujarat),105
Coriander,24-Jul,Split Eagle + 5% GST,Unjha(Gujarat),70
Coriander,24-Jul,Split Eagle plus + 5% GST,Unjha(Gujarat),68
Coriander,24-Jul,Split Scooter + 5% GST,Unjha(Gujarat),70
Coriander,24-Jul,Small Eagle plus(royal) + 5% GST,Unjha(Gujarat),85
Coriander,24-Jul,Small Scooter (seven star)+ 5% GST,Unjha(Gujarat),95
Coriander,24-Jul,Small Single parrot (ever green) + 5% GST,Unjha(Gujarat),125
Coriander,24-Jul,Badami loose,Ramganj-Mandi(Rajasthan),50-68
Coriander,24-Jul,Eagle loose,Ramganj-Mandi(Rajasthan),68-79
Coriander,24-Jul,Scooter loose,Ramganj-Mandi(Rajasthan),80-95
Coriander,24-Jul,Double parrot and extra green,Ramganj-Mandi(Rajasthan),95+
Coriander,24-Jul,Dal(Eagle),Ramganj-Mandi(Rajasthan),78
Coriander,24-Jul,Eagle,Ramganj-Mandi(Rajasthan),87
Coriander,24-Jul,Scooter,Ramganj-Mandi(Rajasthan),110
Coriander,24-Jul,Badami,Kota(Rajasthan),83
Turmeric,25-Jul,Turmeric Finger Selum,Nanded(Maharashtra),120
Turmeric,25-Jul,Bulb Selum Premium Export Quality,Nanded(Maharashtra),115
Turmeric,25-Jul,Turmeric powder best quality,Baroda(Gujarat),100
Dry Chilli,25-Jul,Chilli powder,Baroda(Gujarat),280
Dry Chilli,25-Jul,Chilli flake,Baroda(Gujarat),290
Turmeric,25-Jul,Turmeric finger,Baroda(Gujarat),110
Coriander,25-Jul,Coriander seeds,Baroda(Gujarat),110
Coriander,25-Jul,Coriander powder,Baroda(Gujarat),100
Cumin seeds,25-Jul,Cumin Seeds Singapore 99,Baroda(Gujarat),600
Cumin seeds,25-Jul,Cumin Seeds Powder,Baroda(Gujarat),400
Dry Chilli,25-Jul,saniya deluxe,Jodhpur(Rajasthan),250
Cumin seeds,25-Jul,CUMIN POWDER,Rajkot(Gujarat),806
Coriander,25-Jul,CORIANDER POWDER,Rajkot(Gujarat),186
Turmeric,25-Jul,TURMERIC POWDER,Rajkot(Gujarat),112
Dry Chilli,25-Jul,RED CHILLY POWDER KASHMIR,Rajkot(Gujarat),930
Dry Chilli,25-Jul,RED CHILLY POWDER REGULAR,Rajkot(Gujarat),434
Dry Chilli,25-Jul,RED CHILLY POWDER TEJA,Rajkot(Gujarat),410
Dry Chilli,25-Jul,RED CHILLY POWDER LOWEST,Rajkot(Gujarat),286
Dry Chilli,25-Jul,SANIYA SUPER DELUX WITH STEM,Jodhpur(Rajasthan),270
Dry Chilli,25-Jul,SANIYA SUPER DELUX STEMLESS,Jodhpur(Rajasthan),325
Dry Chilli,25-Jul,REVA SUPER DELUX WITH STEAM,Jodhpur(Rajasthan),300
Dry Chilli,25-Jul,WONDERHOT PLAIN DOUBLE PATTA DELUX WITH STEM,Jodhpur(Rajasthan),360
Dry Chilli,25-Jul,WONDERHOT SINGAL PATTA WITH STEM,Jodhpur(Rajasthan),330
Turmeric,25-Jul,TURMARIC NIZAMABAD DOUBLE POLICE,Jodhpur(Rajasthan),120
Turmeric,25-Jul,NIZAMABAD DOUBLE POLICE,Jodhpur(Rajasthan),125
Turmeric,25-Jul,SALAM FALI VASHNAVI 108 BRAND,Jodhpur(Rajasthan),120
Turmeric,25-Jul,NIZAMABAD GATHHA DOUBLE POLICE,Jodhpur(Rajasthan),125
Turmeric,25-Jul,SALEM GATHHA,Jodhpur(Rajasthan),122
Coriander,25-Jul,Eagle,Rajkot(Gujarat),80
Coriander,25-Jul,Eagle plus,Rajkot(Gujarat),82
Coriander,25-Jul,Scooter,Rajkot(Gujarat),90
Coriander,25-Jul,Scooter plus,Rajkot(Gujarat),92
Coriander,25-Jul,Single parrot,Rajkot(Gujarat),102
Cumin seeds,25-Jul,A grade,Unjha(Gujarat),630
Turmeric,25-Jul,Turmeric powder Curcumin content- around 3 % Moisture- less than5%,Sangli(Maharashtra),128
Cumin seeds,25-Jul,Singapore 99,Kanpur(Uttar Pradesh),710
Coriander,25-Jul,"Coriander Seeds Eagle,GST & Freight extra at actual",Pratapgarh(Rajasthan),75
Coriander,25-Jul,"Coriander Seeds Badami,GST & Freight extra at actual",Pratapgarh(Rajasthan),67
Cumin seeds,25-Jul,Singapore 99,Pratapgarh(Rajasthan),628
Coriander,25-Jul,Quality Scooter,Mundra-port(Gujarat),98
Cumin seeds,25-Jul,Extra bold + 5% GST,Unjha(Gujarat),685
Cumin seeds,25-Jul,Diamond + 5% GST,Unjha(Gujarat),665
Cumin seeds,25-Jul,Bombay bold + 5% GST,Unjha(Gujarat),650
Cumin seeds,25-Jul,Jupiter + 5% GST,Unjha(Gujarat),640
Cumin seeds,25-Jul,Vivo + 5% GST,Unjha(Gujarat),630
Coriander,25-Jul,Bold Eagle + 5% GST,Unjha(Gujarat),81
Coriander,25-Jul,Bold Eagle plus + 5% GST,Unjha(Gujarat),87
Coriander,25-Jul,Bold Scooter + 5% GST,Unjha(Gujarat),89
Coriander,25-Jul,Bold Scooter plus + 5% GST,Unjha(Gujarat),88
Coriander,25-Jul,Bold Diamond + 5% GST,Unjha(Gujarat),106
Coriander,25-Jul,Bold Singal parrot + 5% GST,Unjha(Gujarat),105
Coriander,25-Jul,Split Eagle + 5% GST,Unjha(Gujarat),70
Coriander,25-Jul,Split Eagle plus + 5% GST,Unjha(Gujarat),68
Coriander,25-Jul,Split Scooter + 5% GST,Unjha(Gujarat),70
Coriander,25-Jul,Small Eagle plus(royal) + 5% GST,Unjha(Gujarat),85
Coriander,25-Jul,Small Scooter (seven star)+ 5% GST,Unjha(Gujarat),95
Coriander,25-Jul,Small Single parrot (ever green) + 5% GST,Unjha(Gujarat),125
Dry Chilli,25-Jul,Dehydrated Red Chilli powder,Shirdi(Maharashtra),250
Cumin seeds,25-Jul,Dehydrated Cumin powder,Shirdi(Maharashtra),360
Turmeric,25-Jul,1%,Shirdi(Maharashtra),90
Turmeric,25-Jul,1.50%,Shirdi(Maharashtra),100
Turmeric,25-Jul,2%,Shirdi(Maharashtra),105
Turmeric,25-Jul,2.50%,Shirdi(Maharashtra),110
Turmeric,25-Jul,3%,Shirdi(Maharashtra),115
Turmeric,25-Jul,4%,Shirdi(Maharashtra),120
Turmeric,25-Jul,5%,Shirdi(Maharashtra),135
Dry Chilli,25-Jul,Kashmiri red chilli,Shirdi(Maharashtra),490
Dry Chilli,25-Jul,Tikhala chilli powder (diamond),Shirdi(Maharashtra),310
Dry Chilli,25-Jul,Tikhala chilli powder (platinum),Shirdi(Maharashtra),290
Cumin seeds,25-Jul,Singapore 99,Udaipur(Rajasthan),650
Coriander,25-Jul,Badami,Kota(Rajasthan),83
Coriander,25-Jul,Badami loose,Ramganj-Mandi(Rajasthan),50-68
Coriander,25-Jul,Eagle loose,Ramganj-Mandi(Rajasthan),68-79
Coriander,25-Jul,Scooter loose,Ramganj-Mandi(Rajasthan),80-95
Coriander,25-Jul,Double parrot and extra green,Ramganj-Mandi(Rajasthan),95+
Coriander,25-Jul,Dal(Eagle),Ramganj-Mandi(Rajasthan),78
Coriander,25-Jul,Eagle,Ramganj-Mandi(Rajasthan),87
Coriander,25-Jul,Scooter,Ramganj-Mandi(Rajasthan),110
Coriander,25-Jul,Single Parrot,Ramganj-Mandi(Rajasthan),130
Coriander,25-Jul,Eagle Split,Ramganj-Mandi(Rajasthan),78
Coriander,25-Jul,Eagle Machine Clean,Ramganj-Mandi(Rajasthan),90
Coriander,25-Jul,Scooter Machine Clean,Ramganj-Mandi(Rajasthan),115
Cumin seeds,25-Jul,Cumin Seeds,Kolkata(West Bengal),610
Cumin seeds,25-Jul,Cumin Seeds,Kolkata(West Bengal),540
Turmeric,26-Jul,Turmeric Finger Selum,Nanded(Maharashtra),160
Turmeric,26-Jul,Bulb Selum Premium Export Quality,Nanded(Maharashtra),150
Turmeric,26-Jul,Turmeric powder best quality,Baroda(Gujarat),100
Dry Chilli,26-Jul,Chilli powder,Baroda(Gujarat),280
Dry Chilli,26-Jul,Chilli flake,Baroda(Gujarat),290
Turmeric,26-Jul,Turmeric finger,Baroda(Gujarat),110
Coriander,26-Jul,Coriander seeds,Baroda(Gujarat),110
Coriander,26-Jul,Coriander powder,Baroda(Gujarat),100
Cumin seeds,26-Jul,Cumin Seeds Singapore 99,Baroda(Gujarat),600
Cumin seeds,26-Jul,Cumin Seeds Powder,Baroda(Gujarat),400
Dry Chilli,26-Jul,saniya deluxe,Jodhpur(Rajasthan),250
Cumin seeds,26-Jul,CUMIN POWDER,Rajkot(Gujarat),806
Coriander,26-Jul,CORIANDER POWDER,Rajkot(Gujarat),186
Turmeric,26-Jul,TURMERIC POWDER,Rajkot(Gujarat),112
Dry Chilli,26-Jul,RED CHILLY POWDER KASHMIR,Rajkot(Gujarat),930
Dry Chilli,26-Jul,RED CHILLY POWDER REGULAR,Rajkot(Gujarat),434
Dry Chilli,26-Jul,RED CHILLY POWDER TEJA,Rajkot(Gujarat),410
Dry Chilli,26-Jul,RED CHILLY POWDER LOWEST,Rajkot(Gujarat),286
Dry Chilli,26-Jul,SANIYA SUPER DELUX WITH STEM,Jodhpur(Rajasthan),270
Dry Chilli,26-Jul,SANIYA SUPER DELUX STEMLESS,Jodhpur(Rajasthan),325
Dry Chilli,26-Jul,REVA SUPER DELUX WITH STEAM,Jodhpur(Rajasthan),300
Dry Chilli,26-Jul,WONDERHOT PLAIN DOUBLE PATTA DELUX WITH STEM,Jodhpur(Rajasthan),360
Dry Chilli,26-Jul,WONDERHOT SINGAL PATTA WITH STEM,Jodhpur(Rajasthan),330
Turmeric,26-Jul,TURMARIC NIZAMABAD DOUBLE POLICE,Jodhpur(Rajasthan),120
Turmeric,26-Jul,NIZAMABAD DOUBLE POLICE,Jodhpur(Rajasthan),125
Turmeric,26-Jul,SALAM FALI VASHNAVI 108 BRAND,Jodhpur(Rajasthan),120
Turmeric,26-Jul,NIZAMABAD GATHHA DOUBLE POLICE,Jodhpur(Rajasthan),125
Turmeric,26-Jul,SALEM GATHHA,Jodhpur(Rajasthan),122
Turmeric,26-Jul,TURMARIC NIZAMABAD DOUBLE POLICE,Jodhpur(Rajasthan),120
Turmeric,26-Jul,SALEM SINGAL POLICE,Jodhpur(Rajasthan),115
Turmeric,26-Jul,NIZAMABAD GATTHA DOUBLE POLICE,Jodhpur(Rajasthan),120
Turmeric,26-Jul,AADITYA 501 IROD GATTHA,Jodhpur(Rajasthan),125
Coriander,26-Jul,Eagle,Rajkot(Gujarat),80
Coriander,26-Jul,Eagle plus,Rajkot(Gujarat),82
Coriander,26-Jul,Scooter,Rajkot(Gujarat),90
Coriander,26-Jul,Scooter plus,Rajkot(Gujarat),92
Coriander,26-Jul,Single parrot,Rajkot(Gujarat),102
Cumin seeds,26-Jul,A grade,Unjha(Gujarat),630
Turmeric,26-Jul,Turmeric powder Curcumin content- around 3 % Moisture- less than5%,Sangli(Maharashtra),128
Cumin seeds,26-Jul,Singapore 99,Kanpur(Uttar Pradesh),710
Coriander,26-Jul,"Coriander Seeds Eagle,GST & Freight extra at actual",Pratapgarh(Rajasthan),75
Coriander,26-Jul,"Coriander Seeds Badami,GST & Freight extra at actual",Pratapgarh(Rajasthan),67
Cumin seeds,26-Jul,Singapore 99,Pratapgarh(Rajasthan),628
Coriander,26-Jul,Quality Scooter,Mundra-port(Gujarat),98
Dry Chilli,26-Jul,Dehydrated Red Chilli powder,Shirdi(Maharashtra),250
Cumin seeds,26-Jul,Dehydrated Cumin powder,Shirdi(Maharashtra),360
Turmeric,26-Jul,1%,Shirdi(Maharashtra),90
Turmeric,26-Jul,1.50%,Shirdi(Maharashtra),100
Turmeric,26-Jul,2%,Shirdi(Maharashtra),105
Turmeric,26-Jul,2.50%,Shirdi(Maharashtra),110
Turmeric,26-Jul,3%,Shirdi(Maharashtra),115
Turmeric,26-Jul,4%,Shirdi(Maharashtra),120
Turmeric,26-Jul,5%,Shirdi(Maharashtra),135
Dry Chilli,26-Jul,Kashmiri red chilli,Shirdi(Maharashtra),490
Dry Chilli,26-Jul,Tikhala chilli powder (diamond),Shirdi(Maharashtra),310
Dry Chilli,26-Jul,Tikhala chilli powder (platinum),Shirdi(Maharashtra),290
Cumin seeds,26-Jul,Cumin Seeds,Kolkata(West Bengal),610
Cumin seeds,26-Jul,Cumin Seeds,Kolkata(West Bengal),540
Cumin seeds,26-Jul,Extra bold + 5% GST,Unjha(Gujarat),677
Cumin seeds,26-Jul,Diamond + 5% GST,Unjha(Gujarat),657
Cumin seeds,26-Jul,Bombay bold + 5% GST,Unjha(Gujarat),642
Cumin seeds,26-Jul,Jupiter + 5% GST,Unjha(Gujarat),632
Cumin seeds,26-Jul,Vivo + 5% GST,Unjha(Gujarat),622
Coriander,26-Jul,Bold Eagle + 5% GST,Unjha(Gujarat),81
Coriander,26-Jul,Bold Eagle plus + 5% GST,Unjha(Gujarat),83
Coriander,26-Jul,Bold Scooter + 5% GST,Unjha(Gujarat),89
Coriander,26-Jul,Bold Scooter plus + 5% GST,Unjha(Gujarat),91
Coriander,26-Jul,Bold Diamond + 5% GST,Unjha(Gujarat),108
Coriander,26-Jul,Bold Singal parrot + 5% GST,Unjha(Gujarat),105
Coriander,26-Jul,Split Eagle + 5% GST,Unjha(Gujarat),79
Coriander,26-Jul,Split Eagle plus + 5% GST,Unjha(Gujarat),68
Coriander,26-Jul,Split Scooter + 5% GST,Unjha(Gujarat),70
Coriander,26-Jul,Small Eagle plus(royal) + 5% GST,Unjha(Gujarat),88
Coriander,26-Jul,Small Scooter (seven star)+ 5% GST,Unjha(Gujarat),98
Coriander,26-Jul,Small Single parrot (ever green) + 5% GST,Unjha(Gujarat),128
Coriander,26-Jul,Badami,Kota(Rajasthan),83
Coriander,26-Jul,Badami loose,Ramganj-Mandi(Rajasthan),50-68
Coriander,26-Jul,Eagle loose,Ramganj-Mandi(Rajasthan),68-79
Coriander,26-Jul,Scooter loose,Ramganj-Mandi(Rajasthan),80-95
Coriander,26-Jul,Double parrot and extra green,Ramganj-Mandi(Rajasthan),95+
Coriander,26-Jul,Dal(Eagle),Ramganj-Mandi(Rajasthan),78
Coriander,26-Jul,Eagle,Ramganj-Mandi(Rajasthan),87
Coriander,26-Jul,Scooter,Ramganj-Mandi(Rajasthan),110
Coriander,26-Jul,Single Parrot,Ramganj-Mandi(Rajasthan),130
Coriander,26-Jul,Eagle Split,Ramganj-Mandi(Rajasthan),78
Coriander,26-Jul,Eagle Machine Clean,Ramganj-Mandi(Rajasthan),90
Coriander,26-Jul,Scooter Machine Clean,Ramganj-Mandi(Rajasthan),115
Cumin seeds,26-Jul,Singapore 99,Udaipur(Rajasthan),625
Cumin seeds,26-Jul,Singapore 99,Unjha(Gujarat),605
Cumin seeds,26-Jul,singapor-99.99,Rajkot(Gujarat),602
Cumin seeds,26-Jul,europe quality,Rajkot(Gujarat),610
Cumin seeds,26-Jul,third grade,Rajkot(Gujarat),590
Coriander,26-Jul,Eagle,Rajkot(Gujarat),89
Coriander,26-Jul,Eagle+,Rajkot(Gujarat),93
Coriander,26-Jul,Scooter,Rajkot(Gujarat),80
Dry Chilli,27-Jul,Dry Chilli Powder,Malad East,280
Turmeric,27-Jul,Turmeric Powder,Malad East,150
Coriander,27-Jul,Coriander Powder,Malad East,170
Dry Chilli,27-Jul,Kashmiri Mirch Powder,Malad East,730
Dry Chilli,27-Jul,Bedgi Mirch,Malad East,540
Dry Chilli,27-Jul,Kashmiri Mirch,Malad East,650
Dry Chilli,27-Jul,Lavangi Mirch,Malad East,260
Coriander,27-Jul,Dhaniya(Coriander),Malad East,140
Coriander,27-Jul,"Coriander Seeds Eagle,GST & Freight extra at actual",Pratapgarh(Rajasthan),75
Coriander,27-Jul,"Coriander Seeds Badami,GST & Freight extra at actual",Pratapgarh(Rajasthan),67
Cumin seeds,27-Jul,Singapore 99,Pratapgarh(Rajasthan),628
Turmeric,27-Jul,Turmeric powder Curcumin content- around 3 % Moisture- less than5%,Sangli(Maharashtra),125
Dry Chilli,27-Jul,"Dry Red Chilli with stem,Deluxe Quality",Sangli(Maharashtra),250
Cumin seeds,27-Jul,Singapore 99,Udaipur(Rajasthan),600
Cumin seeds,27-Jul,Extra bold + 5% GST,Unjha(Gujarat),670
Cumin seeds,27-Jul,Diamond + 5% GST,Unjha(Gujarat),650
Cumin seeds,27-Jul,Bombay bold + 5% GST,Unjha(Gujarat),635
Cumin seeds,27-Jul,Jupiter + 5% GST,Unjha(Gujarat),625
Cumin seeds,27-Jul,Vivo + 5% GST,Unjha(Gujarat),615
Coriander,27-Jul,Bold Eagle + 5% GST,Unjha(Gujarat),81
Coriander,27-Jul,Bold Eagle plus + 5% GST,Unjha(Gujarat),83
Coriander,27-Jul,Bold Scooter + 5% GST,Unjha(Gujarat),89
Coriander,27-Jul,Bold Scooter plus + 5% GST,Unjha(Gujarat),91
Coriander,27-Jul,Bold Diamond + 5% GST,Unjha(Gujarat),108
Coriander,27-Jul,Bold Singal parrot + 5% GST,Unjha(Gujarat),105
Coriander,27-Jul,Split Eagle + 5% GST,Unjha(Gujarat),79
Coriander,27-Jul,Split Eagle plus + 5% GST,Unjha(Gujarat),68
Coriander,27-Jul,Split Scooter + 5% GST,Unjha(Gujarat),70
Coriander,27-Jul,Small Eagle plus(royal) + 5% GST,Unjha(Gujarat),88
Coriander,27-Jul,Small Scooter (seven star)+ 5% GST,Unjha(Gujarat),98
Coriander,27-Jul,Small Single parrot (ever green) + 5% GST,Unjha(Gujarat),128
Dry Chilli,27-Jul,SANIYA SUPER DELUX WITH STEM,Jodhpur(Rajasthan),260
Dry Chilli,27-Jul,SANIYA SUPER DELUX STEMLESS,Jodhpur(Rajasthan),320
Dry Chilli,27-Jul,REVA SUPER DELUX WITH STEAM,Jodhpur(Rajasthan),290
Dry Chilli,27-Jul,WONDERHOT PLAIN DOUBLE PATTA DELUX WITH STEM,Jodhpur(Rajasthan),360
Dry Chilli,27-Jul,WONDERHOT SINGAL PATTA WITH STEM,Jodhpur(Rajasthan),320
Turmeric,27-Jul,TURMARIC NIZAMABAD DOUBLE POLICE,Jodhpur(Rajasthan),120
Turmeric,27-Jul,NIZAMABAD DOUBLE POLISH,Jodhpur(Rajasthan),125
Turmeric,27-Jul,SALAM FALI VASHNAVI 108 BRAND,Jodhpur(Rajasthan),120
Turmeric,27-Jul,NIZAMABAD GATHHA DOUBLE POLICE,Jodhpur(Rajasthan),125
Turmeric,27-Jul,SALEM GATHHA,Jodhpur(Rajasthan),122
